REFCODE,SCP,LCD,PLD,Va,Density,ASA,VF,KH311,300,305,310,315,320,325,330,335,340,345,350,353,adsH,dW
QAQRUW01_clean.cif,22.4733335,6.61006,4.14047,0.519104,0.851853,1974.91,0.619895,4.32175787,-7.442492798,-7.46470588,-7.305394801,-6.563837353,-7.59345982,-7.787812396,-7.694648631,-7.163675884,-7.1123827,-7.450996738,-9.57024772,-7.04431225,62.50224125,0.028849048
XOVPON_clean.cif,18.03687974,5.77582,4.13919,0.284219,1.29056,896.347,0.488112,6.673020907,-8.630784143,-8.647817482,-9.179798541,-8.709965389,-8.982966661,-7.617982957,-9.338187314,-8.73754891,-9.036684489,-8.774690718,-10.58502665,-8.221125528,62.21295875,0.027767949
KOFPEB_clean.cif,21.27385115,7.31754,5.12804,0.13833,1.78125,422.755,0.322296,-0.993050726,-8.621602099,-8.772113295,-8.35261703,-8.104025268,-8.448550002,-8.716698771,-8.739928612,-8.374687549,-8.299296283,-8.609064893,-8.795880017,-9.406713933,62.07042784,0.028378322
OKIVIO02_clean.cif,10.98967944,4.79142,3.89918,0.118333,1.32508,448.302,0.320585,0.208884562,-7.978810701,-8.850780887,-7.602059991,-8.194499142,-7.705533774,-8.769551079,-7.136082623,-7.777283529,-8.512861625,-8.573488739,-10.93930216,-8.793174124,61.83520206,0.012886697
NARTIL_clean.cif,9.495368383,4.55805,3.53356,0.140126,1.14611,368.472,0.329148,-0.578774601,-7.315154638,-8.22475374,-8.262807357,-8.083546051,-7.638272164,-8.239577517,-8.701146924,-7.66756154,-7.782516056,-8.178486472,-9.882728704,-8.718966633,61.5652172,0.012701162
UKUBUY_clean.cif,9.814741622,7.24877,4.06617,0.29905,1.0306,1044.12,0.520747,-1.119898434,-7.821023053,-6.54515514,-7.688246139,-7.718966633,-7.22475374,-7.41453927,-7.53165267,-7.249491605,-7.14691047,-7.617982957,-10.3205721,-7.863279433,61.55591264,0.010863358
NEKBEL_clean.cif,6.573015324,4.87211,3.65052,0.109289,1.60125,382.623,0.298202,-0.684730966,-8.459670525,-8.177178355,-9.27572413,-8.779891912,-8.065501549,-8.003050752,-9.100179498,-8.701146924,-8.247951552,-8.227678293,-10.31785492,-8.950781977,61.52430563,0.015569263
VIDXOX_clean.cif,16.00538937,6.13892,4.72707,0.196667,1.68509,705.359,0.467469,6.193124598,-8.446116973,-7.53165267,-8.355561411,-8.368556231,-7.300162274,-8.237321436,-8.190440285,-8.769551079,-8.279014256,-8.530177984,-10.00966115,-8.3400838,61.4979698,0.023472934
ABEXIQ_clean.cif,15.47474581,4.71075,3.90547,0.107183,1.7876,353.311,0.344239,10.9106244,-8.134896025,-7.863279433,-8.806875402,-9.508638306,-7.588380294,-9.208309351,-7.93930216,-8.991399828,-8.759450752,-7.48148606,-7.903089987,-9.001304842,61.47882672,0.011138843
KAYCIY_clean.cif,14.20278839,5.925,4.80131,0.469756,0.977102,1741.72,0.633974,2.402479765,-8.256490235,-8.367542708,-8.229884705,-8.747146969,-8.449771647,-8.12090412,-8.202732459,-7.557520231,-7.89279003,-8.156767222,-8.293282218,-8.581698709,61.47808244,0.019442009
REGJIW01_clean.cif,1.25550187,4.07679,3.50731,0.0930763,2.19605,155.076,0.286846,-1.876605752,-8.616184634,-8.671620397,-8.563837353,-7.48945499,-8.038578906,-7.714442691,-8.774690718,-7.709965389,-8.669586227,-8.616184634,-9.249491605,-8.425968732,61.3814852,0.006676232
SEHZUB_clean.cif,17.63034252,6.0684,3.85297,0.200721,1.14687,611.29,0.369225,1.482857869,-8.273272791,-6.89279003,-8.490797478,-8.698970004,-8.565431096,-7.966576245,-7.730487056,-8.015922966,-8.89279003,-7.826813732,-9.156144577,-7.732828272,61.27430156,0.022081209
ZILBED_clean.cif,10.95562021,4.97187,3.66398,0.220991,0.952981,758.145,0.491611,0.09872677,-7.801342913,-8.525783736,-8.655607726,-7.958607315,-8.490797478,-7.642065153,-8.359518563,-8.565431096,-8.518557371,-9.194499142,-10.50031292,-9.047207557,61.21163139,0.036616615
KABXES_clean.cif,40.73317362,5.53059,4.70926,0.379272,1.18279,1444.02,0.59081,10.90687353,-7.920818754,-7.679853714,-6.847711656,-7.514278574,-7.752026734,-8.469800302,-7.235823868,-8.052566278,-8.129011186,-7,-8.222573178,-7.829738285,61.16328369,0.026897017
LIXWAR01_clean.cif,20.23862511,5.34872,3.48323,0.253284,1.07311,894.013,0.521733,2.983394872,-7.403402904,-7.950781977,-7.958607315,-8.742321425,-8.537602002,-8.735182177,-8.286509457,-8.354577731,-7.679853714,-7.701146924,-8.886056648,-7.785156152,61.14278876,0.035063787
WIYZOU_clean.cif,28.3100506,6.31248,3.98793,0.277613,1.32919,1009.99,0.504933,3.634108316,-7.812479279,-8.66756154,-8.078833949,-8.35261703,-7.684029655,-7.199282922,-8.073657553,-6.987162775,-7.410050399,-8.239577517,-9.49757288,-8.692503962,61.1379773,0.023981411
UKUBOS_clean.cif,9.188977819,7.20509,4.11337,0.322377,1.01682,1059.05,0.517131,-1.087668453,-7.769551079,-7.469800302,-6.259637311,-7.343901798,-7.838631998,-8.580044252,-6.108462542,-7.860120914,-7.607303047,-7.329754147,-9.549750892,-8.178486472,61.12727508,0.018033909
