REFCODE,SCP,LCD,PLD,Va,Density,ASA,VF,KH311,300,305,310,315,320,325,330,335,340,345,350,353,adsH,dW
Co-DOBDC.cif,66.03339511,11.60663,10.8411,0.487733,1.18056,1201.25,0.718075,-2.517666763,-7.931814138,-7.709965389,-8.995678626,-8.627087997,-8.630784143,-8.679853714,-8.57024772,-9.078833949,-7.823908741,-8.004364805,-9.026872146,-9.735182177,52.65786078,0.133165702
PEPLOM_clean.cif,25.79839317,5.46553,5.11218,0.263291,1.20095,915.458,0.48238,-2.153584326,-6.41453927,-6.76700389,-7.847711656,-5.42945706,-7.847711656,-7.315154638,-7.457174573,-7.179142011,-7.583359493,-7.70333481,-9.522878745,-7.037630664,52.64984413,0.038050691
ODUNEH_clean.cif,39.74469622,6.9978,4.66793,0.467814,0.964914,1812.97,0.617992,0.134336511,-8.116906641,-6.659555885,-6.43062609,-7.619788758,-8.627087997,-8.280668713,-8.153662888,-7.384049948,-8.016373713,-7.293282218,-9.795880017,-7.640164518,52.60950131,0.040664728
FUNBIA_clean.cif,27.95208267,7.93212,5.8535,0.383749,0.99492,1290.69,0.527904,-2.343171877,-7.754487332,-8.289882635,-8.088842391,-8.600326279,-8.308918508,-7.040005162,-8.66756154,-8.595166283,-8.528708289,-8.578396073,-8.950781977,-8.954677021,52.60334112,0.049526768
CAXWIJ_clean.cif,64.04102269,11.55931,10.97955,0.50131,1.143,1270.71,0.703727,-1.351021682,-7.721246399,-8.730487056,-8.647817482,-7.866461092,-8.886056648,-8.777283529,-8.995678626,-8.684029655,-8.540607512,-8.530177984,-8.815308569,-9.059483515,52.57396253,0.092583875
SEHSUU_clean.cif,23.28720908,5.20127,4.51346,0.345038,1.3755,1329.64,0.644408,0.915282671,-8.403402904,-8.71219827,-8.417936637,-8.374687549,-8.63638802,-7.847711656,-8.675717545,-8.4710833,-8.119186408,-8.821023053,-10.26121944,-8.105130343,52.55214805,0.042608298
MOYYEF_clean.cif,39.33757776,7.42919,7.01968,0.520496,0.950247,1862.32,0.613683,-3.072135562,-6.035269079,-6.274905479,-6.591760035,-7.787812396,-7.573488739,-7.276544328,-6.661543506,-7.749579998,-7.266802735,-7.301029996,-7.841637508,-7.645891561,52.54478064,0.077440732
RAXYOF_clean.cif,16.78179004,4.79577,4.18835,0.122457,1.30004,404.373,0.232007,-2.434482749,-5.057495894,-6.328827157,-6.718966633,-6.850780887,-8.220403509,-7.869666232,-7.161780778,-8.211124884,-6.982966661,-7.227678293,-8.100726813,-8.688246139,52.53708912,0.021558282
SAQQOR_clean_h.cif,33.93277324,11.44898,8.6027,0.711566,0.778283,2070.82,0.710464,-0.025466202,-7.612610174,-9.177831921,-9.322393047,-9.147520006,-8.876148359,-9.226945307,-9.123205024,-9.085656843,-9.020907099,-9.447331784,-10.58502665,-9.57024772,52.53316559,0.130085643
DIXKOL_clean.cif,17.63996704,6.93403,4.69267,0.255177,1.41392,797.876,0.47759,-1.711871553,-6.906578315,-6.090443971,-6.482804102,-6.787812396,-7.617982957,-7.292429824,-6.935542011,-7.324221658,-7.428291168,-7.43062609,-6.742321425,-8.081445469,52.52839719,0.017568019
EDADIX_clean.cif,24.29417246,4.3006,3.78091,0.128819,1.24361,452.846,0.430428,-1.998764021,-7.32330639,-9.010995384,-9.8569852,-7.68613278,-8.133712661,-7.987162775,-7.033858267,-7.744727495,-8.399027104,-7.68613278,-8.370590401,-9.728158393,52.52442633,0.048099204
KINFAQ_clean.cif,37.58627399,7.57452,5.57372,0.33183,1.3531,1100.77,0.622031,4.63638257,-7.978810701,-8.882728704,-9.062983893,-9.010995384,-9.186419011,-8.876148359,-9.138465589,-9.226945307,-8.49757288,-8.36552273,-9.435333936,-9.43062609,52.51671112,0.047452116
PUSDOX_clean.cif,46.47841269,7.1039,5.02861,0.269718,1.1056,1081.42,0.47533,-2.217999193,-8.354577731,-7.204119983,-8.252588192,-7.730487056,-7.501689446,-8.474955193,-9.478861916,-7.649751982,-8.382999659,-7.645891561,-9.137868621,-8.823908741,52.46281922,0.049445713
NAZBAT_clean.cif,38.73320249,7.37099,4.20073,0.274976,1.03282,988.82,0.682195,-1.526638592,-7.59345982,-8.059981845,-8.432973634,-8.031984286,-8.53165267,-7.496209317,-7.07109231,-8.150580586,-8,-6.657577319,-9.124360063,-8.270025714,52.46231299,0.055909307
XAPTUE_clean.cif,22.3393933,6.88489,4.58268,0.252299,1.46731,792.631,0.54341,4.74946267,-8.709965389,-9.019542108,-9.067526235,-9.350665141,-8.876148359,-9.167491087,-9.389339837,-8.920818754,-9.03574037,-9.455931956,-10.75696195,-9.326058001,52.45749564,0.04460384
MOSDUT_clean.cif,45.23481378,4.74556,4.02251,0.246561,1.12183,938.867,0.452669,-1.493018993,-7.322393047,-6.643974143,-8.543633967,-8.105130343,-7.716698771,-6.928117993,-7.245651664,-8.334419009,-7.677780705,-7.614393726,-7.782516056,-7.590066877,52.45419261,0.037076477
SOWYOS_clean.cif,12.31798874,5.48392,4.03896,0.367614,0.863407,1333.95,0.38926,-0.49046281,-7.515700161,-7.289882635,-8.140261434,-7.018634491,-7.255707017,-7.151195299,-6.769551079,-7.913640169,-7.946921557,-7.823908741,-9.428291168,-8.099632871,52.4202873,0.024477984
BEPNUH_clean.cif,38.36655814,10.81664,10.72226,0.312776,1.16569,918.696,0.474253,-2.881219587,-7.721246399,-8.236572006,-6.946921557,-8.432973634,-7.284832642,-8.651695137,-7.447331784,-8.906578315,-7.178486472,-7.396855627,-9.306273051,-9.111820506,52.40933221,0.065930535
MIZJUB_clean.cif,84.66060832,6.07394,5.75995,0.527668,0.867592,2133.85,0.622518,-1.736191195,-7.958607315,-8.200659451,-8.072629637,-6.982966661,-7.603800653,-7.684029655,-8.438898616,-8.798602876,-8.276544328,-6.806875402,-8.348721986,-8.504455662,52.39853026,0.084673259
AFOVAT_clean.cif,48.73342596,8.24108,6.31049,0.441404,1.04077,1401.53,0.621985,2.695655885,-8.179798541,-8.494850022,-8.378823718,-7.764471553,-8.742321425,-8.619788758,-8.730487056,-8.89279003,-8.91721463,-9.002176919,-8.931814138,-9.161150909,52.38752205,0.043362906
BAEDTA01_clean.cif,1.207007468,5.31548,4.24463,0.0445278,2.14248,128.48,0.21314,0.789571547,-7.333482019,-7.14691047,-7.651695137,-7.290730039,-7.684029655,-7.821023053,-7.882728704,-7.863279433,-8.281498311,-8.562249437,-8.358525889,-8.26760624,52.37752938,0.001364633
TONQOD_clean.cif,62.5830709,8.87424,4.93304,0.800139,0.731873,3134.62,0.766339,-1.063113447,-8.801342913,-7.970616222,-8.160521953,-8.818156412,-8.32330639,-8.074687909,-8.777283529,-8.647817482,-8.585026652,-8.351639989,-10.45717457,-8.954677021,52.37727629,0.100325932
MURCOR_clean.cif,33.76392399,8.10583,6.85824,0.178116,1.58436,562.392,0.349295,-3.244500171,-8.351639989,-8.472370099,-7.26760624,-7.578396073,-8.218244625,-7.698970004,-7.369572125,-7.924453039,-8.872895202,-8.211831629,-9.027334408,-8.296708622,52.3699069,0.041990842
CAYDOX06_clean.cif,12.03803751,4.86496,4.66473,0.114766,1.4743,388.769,0.235776,-2.069115125,-6.221125528,-7.438898616,-6.920818754,-7.222573178,-6.221125528,-5.866461092,-7.642065153,-7.826813732,-8.219682688,-7.358525889,-7.57024772,-7.492144128,52.36809358,0.008633371
WAMRIN02_clean.cif,42.38203344,7.20447,5.42991,0.442033,0.963729,1390.43,0.620367,-0.263313534,-8.954677021,-8.41453927,-7.283162277,-8.823908741,-8.844663963,-6.612610174,-9.173925197,-8.317854924,-9.313363731,-9.382999659,-10.37986395,-9.142064735,52.36757217,0.063171695
IXODUV_clean.cif,51.10109458,6.72793,6.45676,0.469061,1.01181,1596.63,0.63721,-2.913081641,-6.906578315,-8.510041521,-8.19314197,-8.227678293,-6.790484985,-7.549750892,-7.13667714,-9.03574037,-8.42136079,-8.254925208,-7.970616222,-9.278189385,52.34496239,0.091580718
IDIWOH_clean.cif,27.5444431,7.4758,7.18153,0.487419,1.00037,1557.74,0.643592,-2.760310207,-7.190440285,-8.443697499,-8.653647026,-8.586700236,-8.671620397,-9.059483515,-8.920818754,-7.537602002,-8.4225082,-9.176525771,-8.000869459,-7.866461092,52.32644192,0.134474223
CAXWAB_clean.cif,46.56916554,11.49971,10.81134,0.498314,1.14506,1276.81,0.701401,-0.887726878,-8.707743929,-7.476253533,-8.744727495,-9.116338565,-8.4225082,-9.061980903,-8.913640169,-8.623423043,-9.025488307,-8.896196279,-8.844663963,-8.847711656,52.31645656,0.102030615
HAFQUC_clean.cif,70.66385868,7.04742,5.31482,0.452419,0.922153,1496.47,0.651632,-2.833063948,-7.154281982,-8.22184875,-7.501689446,-8.207608311,-7.12090412,-7.49757288,-7.484126156,-7.8569852,-8.006123085,-8.512861625,-7.850780887,-8.001304842,52.31613226,0.124010221
KUNWEW_clean.cif,9.671853016,5.20161,3.65102,0.106588,1.47108,359.483,0.258186,1.275675226,-8.370590401,-8.607303047,-7.542118103,-8.795880017,-8.096910013,-8.139661993,-7.145086978,-8.583359493,-7.866461092,-6.815308569,-8.8569852,-7.835647144,52.3135121,0.014288447
DARDOR_clean.cif,36.18975899,7.67214,4.16375,0.382056,1.13544,1323.47,0.59601,-2.316577396,-7.111259039,-8.18243463,-7.628932138,-6.899629455,-7.271646218,-7.899629455,-8.55129368,-7.411168274,-7.047207557,-7.696803943,-7.661543506,-7.752026734,52.31057196,0.041037331
SAHYIL_clean.cif,16.64370616,4.70526,3.79855,0.110959,1.21487,443.686,0.359634,0.542113048,-7.974694135,-8.391473966,-8.246416941,-8.962573502,-8.154281982,-8.673664139,-8.090443971,-8.042871802,-8.709965389,-8.232102384,-10.56383735,-9.153662888,52.29200765,0.015387319
CADQOP_clean.cif,14.54668032,6.61623,4.73547,0.468659,1.09675,1763.33,0.64873,8.969415912,-7.962573502,-8.04383157,-7.634512015,-8.042871802,-8.057495894,-8.203425667,-7.809668302,-8.241845378,-7.634512015,-8.659555885,-8.498940738,-8.075204004,52.29110035,0.05191502
SEHTEF_clean.cif,28.15241397,5.433,4.53262,0.457162,1.08146,1706.1,0.65859,4.40949692,-8.76700389,-8.517126416,-7.350665141,-8.521433504,-8.563837353,-8.48945499,-8.801342913,-8.350665141,-8.673664139,-8.402304814,-10.18177411,-8.318758763,52.2896789,0.039943785
AWOFOI_clean.cif,17.17401303,5.39057,4.14728,0.332656,1.31908,1327.07,0.612736,8.876794976,-8.149966742,-7.661543506,-7.950781977,-7.598599459,-7.943095149,-6.91721463,-7.943095149,-7.651695137,-7.950781977,-8.103473783,-7.772113295,-7.779891912,52.27090483,0.019777845
SUNHUF_clean.cif,28.09899645,6.56217,3.95746,0.291736,1.26553,976.901,0.518363,1.942669662,-8.735182177,-7.804100348,-7.407823243,-8.590066877,-8.4225082,-8.530177984,-8.744727495,-8.341988603,-8.590066877,-8.698970004,-10.11918641,-8.906578315,52.26804602,0.030536479
GENGIR_clean.cif,37.13635203,7.3141,3.94539,0.357205,1.15452,1273.07,0.596169,-2.22086113,-6.71219827,-8.42945706,-8.049148541,-7.688246139,-6.785156152,-8.211831629,-8.01278077,-7.823908741,-8.306273051,-8.288192771,-6.625251654,-8.2069084,52.25843023,0.040555899
XAKQOR_clean.cif,29.64404791,5.53867,3.95006,0.304198,0.965162,1097.82,0.525317,-2.029871256,-7.099632871,-8.552841969,-8.406713933,-8.008773924,-7.844663963,-7.681936665,-7.76700389,-7.367542708,-8.540607512,-7.49757288,-10.47625353,-8.705533774,52.24728268,0.030246123
OQANIE_clean.cif,9.953339579,7.68695,4.01548,0.25995,1.08482,984.843,0.536216,-1.447368281,-7.91721463,-7.974694135,-8.653647026,-8.400116928,-8.029653124,-8.488116639,-8.649751982,-8.243363892,-7.528708289,-8.749579998,-10.1481304,-8.638272164,52.24688478,0.039905113
GOKBUE_clean.cif,39.58476714,6.19306,4.2709,0.208161,1.63047,688.235,0.402822,-0.154403428,-8.659555885,-8.694648631,-8.454692884,-8.815308569,-8.632644079,-8.515700161,-8.595166283,-8.747146969,-8.377785977,-7.283996656,-7.019542108,-8.581698709,52.23700412,0.044815565
XEHSEJ_clean.cif,6.940450333,4.92735,4.02476,0.196772,1.33454,484.184,0.314345,-2.407752162,-7.071604148,-6.806875402,-7.488116639,-7.088842391,-7.677780705,-7.787812396,-7.804100348,-8.01278077,-7.995678626,-8.40560745,-10.1123827,-8.920818754,52.23308772,0.010280201
BONMEX_clean.cif,43.51735009,6.30243,4.92881,0.51281,0.857628,1924.02,0.638593,-0.643725499,-7.728158393,-8.298432015,-8.229147988,-8.524328812,-8.634512015,-7.798602876,-8.332547047,-7.517126416,-8.205511953,-8.391473966,-8.261219442,-8.801342913,52.21554121,0.067642553
GUYLOC_clean.cif,36.0791289,6.34112,5.50777,0.376121,1.06721,1431.04,0.555659,-2.485278299,-6.200659451,-6.235823868,-6.48945499,-7.248720896,-7.22475374,-7.598599459,-7.628932138,-8.019088062,-7.289882635,-6.91721463,-7.721246399,-7.53313238,52.21293314,0.049853931
FUTCAZ_clean.cif,56.03213486,6.67006,4.79817,0.741137,0.817663,2974.29,0.709312,6.382017043,-7.728158393,-7.117475462,-7.801342913,-8.476253533,-7.588380294,-7.782516056,-7.886056648,-8.104577454,-7.906578315,-7.73754891,-8.211831629,-7.950781977,52.19150395,0.063435351
GAYFOD_clean.cif,54.51484881,5.93957,5.49608,0.383659,1.15207,1110.97,0.57416,-2.030793364,-6.987162775,-7.872895202,-8.677780705,-6.910094889,-6.869666232,-7.042392713,-6.838631998,-7.2915791,-8.096367484,-7.15739076,-8.345823458,-7.785156152,52.18482264,0.034969911
GERWEH_clean.cif,52.43294393,9.31849,6.64296,0.390208,1.11428,1216.69,0.636184,-3.347218134,-7.559090918,-7.673664139,-7.530177984,-7.43062609,-7.03574037,-6.534617149,-7.298432015,-7.216811309,-7.954677021,-7.54668166,-8.080398976,-8.619788758,52.16314164,0.054972529
PASTOU_clean.cif,9.99929132,6.35227,4.67833,0.129788,1.58721,408.876,0.297819,1.008412789,-8.73754891,-8.681936665,-8.730487056,-9.096367484,-8.935542011,-8.832682665,-9.028260409,-8.910094889,-9.023191663,-8.73754891,-10.48148606,-8.623423043,52.15833243,0.013756389
EWESIJ_clean.cif,13.16617563,8.40609,4.91556,0.120577,1.7267,465.355,0.344832,-2.103225292,-7.744727495,-8.450996738,-7.832682665,-7.815308569,-8.122053048,-7.575118363,-8.494850022,-6.214670165,-8.598599459,-8.401209493,-6.795880017,-7.349692477,52.12024406,0.013175509
IXOFIL_clean.cif,13.73803503,6.86546,6.61172,0.464962,1.01557,1485.4,0.629121,-2.821734037,-7.804100348,-5.692503962,-7.759450752,-6.696803943,-7.511449283,-7.162411562,-8.88941029,-7.764471553,-8.739928612,-9.42365865,-9.01278077,-8.229884705,52.10716718,0.106454762
VICDOC_clean.cif,44.72275071,4.56743,3.74598,0.169465,1.14596,532.498,0.449144,-1.828542688,-8.344861565,-8.22475374,-8.37161107,-8.537602002,-7.954677021,-8.193820026,-8.924453039,-8.410050399,-8.127261173,-8.345823458,-9.201349355,-8.040481623,52.08516492,0.04603313
UZUNAF01_clean.cif,32.25137443,7.28303,6.53777,0.232835,1.26957,735.349,0.367308,-2.87177526,-8.653647026,-7.068542129,-7.866461092,-8.673664139,-8.496209317,-7.394694954,-8.425968732,-7.657577319,-8.718966633,-7.809668302,-8.503070352,-9.049635146,52.08399455,0.049528549
OYODEM.cif,39.05266903,9.07008,5.22908,0.287324,1.02323,975.624,0.388731,-0.551471453,-7.607303047,-8.17327748,-8.417936637,-8.056011125,-8.131355562,-8.334419009,-7.970616222,-8.835647144,-8.181114585,-8.281498311,-9.954677021,-8.048662481,52.06279471,0.033464607
IXOFUX01_clean.cif,62.60451593,6.62791,6.37703,0.47311,1.00146,1599.21,0.633681,-2.903980334,-7.809668302,-5.853871964,-8.614393726,-7.105130343,-7.261219442,-6.696803943,-7.517126416,-6.844663963,-7.772113295,-7.105683937,-8.684029655,-9.240332155,52.05411985,0.088054722
YARSAN_clean.cif,18.15153332,4.69849,3.56398,0.113401,1.29452,485.064,0.357725,-0.165152842,-8.064492734,-8.316952962,-8.54515514,-7.168770306,-7.401209493,-7.612610174,-7.192464972,-8.105130343,-6.37675071,-7.600326279,-9.675717545,-7.804100348,52.05394022,0.014764515
GEDSOZ_clean.cif,29.50629378,5.83866,4.09674,0.436281,1.10708,1848.62,0.653629,4.805507655,-8.359518563,-6.91721463,-7.73754891,-7.501689446,-7.281498311,-7.801342913,-7.863279433,-7.272458743,-8.19314197,-7.91721463,-7.804100348,-8.296708622,52.03444243,0.044770114
EBIHII_clean.cif,48.34660533,6.33431,4.89847,0.387721,1.13174,1493.59,0.597106,-0.336926947,-8.396855627,-8.625251654,-8.441291429,-8.338187314,-7.978810701,-8.443697499,-8.067019178,-8.756961951,-8.643974143,-8.269217724,-8.380906669,-8.73754891,52.01680037,0.065012953
NESSOV_clean.cif,36.84327512,6.27854,3.55517,0.293193,1.0314,977.48,0.52072,-1.808523834,-7.732828272,-7.204119983,-7.598599459,-7.57024772,-8.53165267,-8.498940738,-8.759450752,-7.886056648,-8.88941029,-8.739928612,-9.651695137,-8.247183569,52.00127017,0.042857527
WEMGAY.cif,11.74926413,5.41713,4.30948,0.327586,1.0965,1035.59,0.490356,-0.581128864,-7.327902142,-8.91721463,-8.559090918,-8.679853714,-8.076755981,-8.494850022,-8.457174573,-8.659555885,-7.068033885,-8.319664487,-8.818156412,-8.63638802,51.99480708,0.027810513
EFOTID_clean.cif,11.9046709,4.82894,4.02338,0.114724,3.01069,550.649,0.538641,0.314709693,-6.920818754,-6.528708289,-7.910094889,-7.815308569,-7.754487332,-8.389339837,-8.27572413,-9.054531415,-8.08249449,-8.068033885,-7.747146969,-8.477555766,51.98714086,0.021183196
HOGLEV01_clean.cif,85.31870471,10.38685,5.846,0.696983,0.851383,2579.99,0.759968,-2.713849036,-7.503070352,-7.732828272,-8.180456064,-8.191114133,-7.692503962,-8.175874166,-7.625251654,-7.024568191,-8.772113295,-8.617982957,-8.468521083,-9.315154638,51.9260495,0.14692613
XEQGEH_clean.cif,28.32414735,4.62382,3.72892,0.0904682,1.14958,327.712,0.276932,-1.263278496,-7.879426069,-8.920818754,-9.041436117,-8.59345982,-7.68613278,-8.605548319,-8.966576245,-7.576754126,-9.299296283,-8.539102157,-9.694648631,-9.488116639,51.92497517,0.03094045
NEDWAW_clean.cif,99.61905295,8.27946,5.66323,0.713846,0.756185,2534.92,0.671084,-3.210786055,-8.591760035,-7.337242168,-6.642065153,-8.661543506,-7.863279433,-7.077793723,-8.42365865,-7.13430394,-8.011441043,-6.869666232,-8.444905551,-7.565431096,51.89288676,0.163509068
CEKHIL_clean.cif,106.24468,9.3246,6.63341,1.15648,0.613586,4265.56,0.815057,2.564884931,-6.742321425,-7.89279003,-6.974694135,-7.838631998,-8.634512015,-8.006123085,-8.302770657,-7.790484985,-8.054039296,-8.488116639,-8.718966633,-8.284832642,51.89010312,0.181347161
KIPZEQ_clean.cif,11.15574419,4.76138,3.89208,0.190246,1.27414,621.42,0.40369,-1.674547967,-8.298432015,-7.101823517,-7.886056648,-7.982966661,-6.559090918,-7.341035157,-8.017728767,-7.578396073,-8.019996628,-6.540607512,-7.759450752,-7.756961951,51.87854139,0.023232496
GIYSOX_clean.cif,3.789777285,5.56691,4.23297,0.157693,1.46994,513.703,0.331009,0.42088609,-6.974694135,-8.199282922,-8.835647144,-7.958607315,-7.4867824,-7.879426069,-7.580044252,-7.216096421,-8.135488919,-7.474955193,-7.181114585,-7.747146969,51.84738568,0.004995282
HURGEH_clean.cif,28.33797071,7.7894,5.01675,0.460226,1.0195,1828.09,0.624165,0.130253336,-7.88941029,-7.954677021,-8.085128182,-8.319664487,-7.866461092,-8.119758224,-7.903089987,-8.236572006,-8.43062609,-8.634512015,-8.41453927,-8.505845406,51.83914887,0.062027618
ZISYAD_clean.cif,30.39787378,6.02765,5.06369,0.246097,1.28892,763.042,0.480847,-1.212426893,-8.199970641,-7.801342913,-8.634512015,-8.15864053,-7.588380294,-6.787812396,-6.987162775,-6.301899454,-8.038578906,-7.498940738,-9.381951903,-7.244887734,51.83780489,0.023073691
IXOFAD_clean.cif,62.65388723,7.01155,6.71436,0.492523,1.01031,1532.1,0.639468,-3.043099075,-8.080398976,-8.452225295,-8.943095149,-7.440093375,-8.442492798,-8.250263684,-7.36552273,-6.866461092,-7.436518915,-8.188424994,-7.507239611,-9.467245621,51.83304946,0.112574162
FIJDIM04_clean.cif,8.248523938,5.52716,4.75689,0.262442,1.23456,863.034,0.511172,1.960791742,-7.860120914,-8.987162775,-8.744727495,-8.306273051,-8.838631998,-7.728158393,-9.127843727,-8.518557371,-7.974694135,-8.63638802,-8.467245621,-8.761953897,51.83210296,0.021966984
ETEJUJ_clean.cif,55.18586472,6.68797,4.97788,0.472627,1.11208,1811.14,0.674456,9.776701184,-7.542118103,-7.818156412,-6.991399828,-7.982966661,-8.394694954,-7.607303047,-8.444905551,-8.493494968,-7.76700389,-8.440093375,-8.434152181,-8.241845378,51.82469006,0.057947105
ZIKJOU_clean.cif,44.69803558,5.31722,3.65822,0.447925,0.969805,1585.97,0.626958,-2.030943041,-6.307153081,-8.436518915,-7.721246399,-8.463441557,-8.501689446,-8.213248578,-9.068033885,-8.133712661,-8.458420756,-8.876148359,-8.982966661,-7.812479279,51.80714401,0.06918465
BAKGIF_clean.cif,65.69038851,8.30671,6.29165,0.399117,1.01674,1330.63,0.538784,-2.015887377,-8.651695137,-8.605548319,-7.793174124,-8.847711656,-8.764471553,-9.034328029,-8.749579998,-9.306273051,-9.447331784,-9.227678293,-9.642065153,-9.718966633,51.79883756,0.109073162
NEDWEA_clean.cif,59.4285784,7.53054,5.08355,0.587418,0.857312,2256.26,0.649393,-1.646953613,-8.559090918,-8.056011125,-8.576754126,-9.229884705,-8.178486472,-7.995678626,-8.560667306,-8.853871964,-8.954677021,-8.772113295,-10.06956041,-9.659555885,51.76961831,0.092877639
CUYWUP_clean.cif,22.33584707,7.07301,4.22148,0.424027,0.942864,1724.98,0.631911,-2.384766652,-8.380906669,-7.549750892,-7.415668776,-6.319664487,-8.013676223,-7.080921908,-7.978810701,-6.515700161,-8.300162274,-7.407823243,-7.565431096,-8.488116639,51.75646599,0.046469779
UZUNEJ_clean.cif,36.08838208,7.2967,6.59265,0.241112,1.26497,720.262,0.368413,-2.834183127,-7.690369833,-7.026872146,-8.485452247,-7.462180905,-7.787812396,-7.576754126,-8.665546249,-9.116906641,-9.219682688,-8.694648631,-9.651695137,-8.514278574,51.74692246,0.056899468
WOJJOV_clean.cif,26.49764418,7.80938,6.71287,0.204688,1.16079,654.455,0.512122,0.049485497,-8.22475374,-8.661543506,-8.202040356,-7.801342913,-8.35753548,-9.141462802,-8.598599459,-8.943095149,-8.655607726,-8.823908741,-10.16115091,-8.899629455,51.74488006,0.024333955
FIJDIM06_clean.cif,10.9168485,5.55469,4.7916,0.267919,1.22798,887.501,0.514282,1.985698104,-8.308918508,-8.614393726,-9.07109231,-9.148741651,-8.230622674,-8.325138859,-8.038578906,-8.832682665,-8.696803943,-8.782516056,-8.35753548,-8.283162277,51.73429983,0.017858286
PAPXUB_clean.cif,12.58834453,3.82305,3.37849,0.0662283,1.41027,157.853,0.201145,-2.924668414,-7.375717904,-6.069050969,-6.669586227,-7.906578315,-8.437707136,-7.91721463,-8.354577731,-7.696803943,-8.673664139,-8.659555885,-7.055517328,-8.754487332,51.7223747,0.017605467
SADMOB_clean.cif,54.47672202,6.04093,5.72418,0.3507,1.12119,1148.98,0.519304,-1.722294541,-7.258060922,-7.045757491,-8.742321425,-7.614393726,-7.853871964,-8.351639989,-6.866461092,-7.847711656,-8.879426069,-7.93930216,-7.208309351,-7.156144577,51.72150608,0.071393505
YAXBOP_clean.cif,39.73515926,5.94342,5.58161,0.350525,1.12517,1071.83,0.522937,-2.097538022,-7.974694135,-8.417936637,-8.459670525,-7.57024772,-8.101274818,-8.105683937,-7.598599459,-7.554395797,-7.586700236,-7.480172006,-9.294136288,-8.301899454,51.71872791,0.074224183
TEQPAI_clean.cif,30.8294607,5.78471,3.5132,0.226091,1.19067,890.953,0.531801,2.984127939,-8.581698709,-8.537602002,-8.665546249,-8.413412695,-8.337242168,-8.358525889,-7.821023053,-8.718966633,-8.754487332,-8.087246696,-10.1408617,-8.841637508,51.71506047,0.0316758
HUZSUR01_clean.cif,31.75392518,9.9911,8.20419,0.471622,0.8422,1610.42,0.618384,7.530199698,-8.920818754,-9.07109231,-8.397940009,-9.035269079,-7.841637508,-9.299296283,-9.152427341,-8.8569852,-9.661543506,-9.761953897,-9.679853714,-10.02181948,51.7089484,0.115448744
CUVTUJ_clean.cif,52.38390332,11.68284,11.06612,0.492307,1.17569,1222.81,0.710337,-1.92918664,-8.924453039,-8.879426069,-7.59345982,-8.835647144,-9.037157319,-9.312471039,-8.906578315,-8.954677021,-8.899629455,-9.13667714,-9.358525889,-9.290730039,51.69489168,0.113593054
BETDAH_clean.cif,32.92898112,6.02407,4.30902,0.418208,1.11108,1743.68,0.647246,6.661812686,-8.196542884,-8.412289035,-8.823908741,-8.354577731,-8.299296283,-8.501689446,-8.931814138,-8.387216143,-8.347753659,-8.367542708,-7.632644079,-8.54515514,51.69485111,0.05311863
Ni-DOBDC.cif,57.5104392,11.45204,11.05441,0.492749,1.19412,1217.07,0.706945,-2.74902163,-7.530177984,-8.657577319,-8.943095149,-8.385102784,-7.356547324,-8.229147988,-8.995678626,-8.931814138,-9.709965389,-9.375717904,-9.779891912,-9.425968732,51.68520803,0.136076392
ANENIR_clean.cif,10.33015009,6.20935,3.83804,0.152792,1.32991,477.947,0.303569,6.421603927,-9.090979146,-9.04431225,-8.101823517,-8.616184634,-8.567030709,-8.995678626,-9.4225082,-8.081969663,-8.742321425,-9.364516253,-9.218963061,-9.718966633,51.67654278,0.027606841
BETFUD_clean.cif,30.75622544,6.47839,4.21472,0.451386,1.06295,1934.52,0.635537,8.149219113,-6.596879479,-8.598599459,-8.742321425,-8.818156412,-7.215382707,-8.197910742,-8.4710833,-8.694648631,-8.73754891,-8.913640169,-8.100726813,-8.847711656,51.67572044,0.055476901
RETBEZ_clean.cif,17.62711192,5.59312,3.6924,0.12424,1.36188,471.959,0.329375,1.206456164,-6.575118363,-8.122628654,-8.424812155,-7.021819483,-7.844663963,-6.476253533,-8.543633967,-8.515700161,-8.214670165,-8.272458743,-10.21041929,-8.238072162,51.6681102,0.016997566
OFUYUL_clean.cif,68.08015755,6.4317,4.15682,0.365502,1.08508,1276.68,0.603069,-2.372891314,-6.798602876,-5.991399828,-8.088309841,-7.55129368,-6.705533774,-7.559090918,-7.270025714,-8.721246399,-8.159893906,-7.764471553,-9.174573882,-8.406713933,51.66791916,0.092942167
ILIGAL_clean.cif,14.88053273,5.38583,4.20158,0.125875,1.8431,335.164,0.30689,-2.222689924,-6.651695137,-7.571865206,-7.847711656,-7.640164518,-7.311580178,-8.051587034,-8.212539525,-8.590066877,-7.477555766,-8.393618635,-8.823908741,-8.107348966,51.6611211,0.02320292
DAXHUH_clean.cif,58.64133674,7.37416,6.85261,0.614923,0.876532,2217.37,0.673723,-1.24715211,-8.307153081,-8.510041521,-8.732828272,-8.806875402,-8.454692884,-8.903089987,-8.91721463,-9.028260409,-9.262012674,-8.511449283,-9.192464972,-9.457174573,51.65554259,0.092146597
RIDDUE_clean.cif,20.27958834,6.3114,5.1066,0.237252,1.46258,756.033,0.482786,-1.289743818,-8.266802735,-8.125518182,-8.216096421,-7.991399828,-8.334419009,-7.609064893,-8.15864053,-7.498940738,-7.458420756,-8.501689446,-8.454692884,-8.8569852,51.64948807,0.042977883
